metric,n_obs,beta_metric,t_metric,p_metric,delta_interaction,t_delta,p_delta,gamma_status,t_gamma,p_gamma,r2,llf,aic,bic,oos_n_obs,oos_rmse,oos_mae,abs_t_metric,sig_bin,beta_sig,delta_sig,perspective,outcome,sig_group,sig_label
def_miss_pos_line,872728,-0.009547135738357058,-19.986357624624574,7.239111773131274e-89,-0.0014300715136956826,-0.5137150670658539,0.6074512162359773,0.0076392372731730485,0.7224183122841669,0.47003733156423644,0.0012044813849568792,327013.3854153858,-654018.7708307717,-653972.0533139037,199913,0.16828469049531594,0.13481007777054316,19.986357624624574,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_linegap_mean,872728,-0.0011829111352467548,-2.1510309496469073,0.03147375690453878,0.003206292831847205,1.220085326411364,0.22243253050427736,-0.011861818185775426,-1.1893768726928842,0.23429139743601812,0.00022111604722796496,326583.97406466526,-653159.9481293305,-653113.2306124626,199913,0.16835668769542841,0.13487789927704133,2.1510309496469073,C) 유의 (|t|≥1.96 & p≤0.05),*,,defense,hold,C,"Significant (p<=0.05, |t|>=1.96)"
shot_saved_def,874329,0.5525416225543464,3.833726359091964,0.00012621654534255867,-0.23260740279649147,-1.5450845458193154,0.1223258145617094,-0.013002719015693175,-2.9158399762158536,0.003547323916713295,0.0019000176733615648,568015.5478694816,-1136023.0957389632,-1135976.3708909072,200264,0.1203098913961271,0.06656311585001237,3.833726359091964,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_blocked_def,874329,-0.09911887665188875,-3.635734313477577,0.00027718990849642274,0.0028141578591520944,0.03258611463209996,0.974004642869305,-0.01301636151295019,-2.9158392762123273,0.0035473318751585146,0.0008506423056168222,567556.1663681939,-1135104.3327363878,-1135057.6078883319,200264,0.12042344642179004,0.06656557763700706,3.635734313477577,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
def_suc,874329,-0.006503558544410542,-7.424907803689283,1.1285849999518003e-13,-0.025304143790461888,-2.3425618893871762,0.019151857314961638,0.02012008184218645,2.4184478264149485,0.01558688064248862,0.001337478265281744,377825.26053983555,-755642.5210796711,-755595.796231615,200264,0.14995715479648516,0.09161092196651037,7.424907803689283,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,*,defense,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gain_dist,870859,-0.0002240170389044393,-10.581264980837153,3.640101035593738e-26,3.495155346441336e-05,0.6122216990911516,0.5403910868806465,0.016147264940920822,2.3506264073322507,0.018741840558520764,0.0018382923774821203,376001.6729102504,-751995.3458205007,-751948.6368790613,199502,0.149980788090846,0.09158132262784631,10.581264980837153,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
def_miss_pos_line,874329,-0.0037418025090572684,-10.589424888052843,3.3363530868009877e-26,-0.0013322260726470034,-0.5014847916205868,0.6160299785284244,0.01645754842095263,2.370267853924485,0.017775202590390362,0.0010445532638090338,377697.0514280456,-755386.1028560912,-755339.3780080351,200264,0.14991289002735333,0.09159463262503983,10.589424888052843,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xG,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gap_std,874329,0.0015325191205943342,3.2147471796384477,0.0013055945553226574,0.000587871611345456,0.33432902981446294,0.7381312868841966,-0.01370528051752236,-2.4026812185034285,0.01627536828958008,0.0009400914226536106,567595.3053904979,-1135182.6107809958,-1135135.8859329398,200264,0.12041655366706047,0.06654092925728591,3.2147471796384477,B) 강하게 유의 (|t|≥2.58 & p≤0.01),**,,defense,xG,B,"Strong (p<=0.01, |t|>=2.58)"
shot_offpost_def,874329,0.37821249110577493,2.2979761067382904,0.021563149053728796,-0.17356073491243623,-1.433398554720199,0.15174397120272948,-0.012991615897965256,-2.912032753466287,0.0035908498038474484,0.001315849136245939,567759.7588240164,-1135511.5176480329,-1135464.792799977,200264,0.1203929459203151,0.06656971246234977,2.2979761067382904,C) 유의 (|t|≥1.96 & p≤0.05),*,,defense,xG,C,"Significant (p<=0.05, |t|>=1.96)"
def_gap_mean,874329,8.957359849758517e-05,0.21976798114557622,0.8260518573418822,0.0006264486246489185,0.5438565184652961,0.5865402124416261,-0.01431084515329009,-2.361114170887233,0.01822012028389676,0.0008455726894022186,567553.9482307064,-1135099.8964614128,-1135053.1716133568,200264,0.1204244690967795,0.06656469476888545,0.21976798114557622,D) 유의 아님,,,defense,xG,D,Not significant
seq_def_num,874329,1.2876732492322267e-05,0.035472002212091715,0.9717033713184808,-0.009256541902197634,-2.2279280997991293,0.025885310011427166,0.019051338179612912,2.4162073769695036,0.015683126416269014,0.0011327018457780724,377735.6288552694,-755463.2577105388,-755416.5328624827,200264,0.1499644433179898,0.09162832726934535,0.035472002212091715,D) 유의 아님,,*,defense,xG,D,Not significant
def_linegap_mean,874329,1.1882520551686777e-05,0.024867636622312932,0.9801605414811847,0.001626200756477673,0.885546613782398,0.3758618904456019,-0.015186229562829369,-2.606814367263587,0.009138889043931116,0.0008520528594433419,567556.7835376482,-1135105.5670752963,-1135058.8422272403,200264,0.12042392900264902,0.06656522292985143,0.024867636622312932,D) 유의 아님,,,defense,xG,D,Not significant
def_linegap_std,874329,-9.62818848882288e-06,-0.01981043323464127,0.9841945949998244,-5.367885430208674e-05,-0.029741371416445016,0.9762733168842617,-0.012984798615777815,-2.848383182569307,0.004394198200169078,0.0008427708087974661,567552.7223130879,-1135097.4446261758,-1135050.7197781198,200264,0.12042438549871387,0.06656600154915103,0.01981043323464127,D) 유의 아님,,,defense,xG,D,Not significant
def_suc_pos_line_box,874329,-7.67160756511416e-05,-0.2109021857650058,0.8329635984956654,-0.004606338458470011,-1.9913598227721057,0.046441342948687396,0.016803464246703613,2.4089001672988206,0.01600067419332883,0.0008943074756805336,377631.30556704686,-755254.6111340937,-755207.8862860376,200264,0.149933846346461,0.09161708286908296,0.2109021857650058,D) 유의 아님,,*,defense,xG,D,Not significant
def_gap_std,874329,0.0032191442984396547,9.292311251490275,1.509736927250738e-20,0.0010548994071772984,1.019788859413264,0.30782860788731947,-0.00903423502785147,-1.754466738216249,0.07935056446856217,0.0013276194975525568,828875.4976560927,-1657742.9953121855,-1657696.2704641295,200264,0.08977706591776621,0.0629086852667045,9.292311251490275,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gap_mean,874329,0.0013310428729821626,4.765561968072335,1.8832800353036238e-06,-0.00015179153843955062,-0.14669532365882343,0.8833725098523844,-0.007490734600084657,-1.2687849998805492,0.20451775649650794,0.0007834896146012849,828637.372027403,-1657266.744054806,-1657220.01920675,200264,0.08980725522706545,0.06294954063590451,4.765561968072335,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
def_linegap_mean,874329,0.001299709238643569,3.7551888089373175,0.00017321085302452016,0.0012738999797197764,0.8306458320072438,0.4061737352410736,-0.009518986605784015,-1.7416247551231443,0.0815741267460154,0.0006936580608879472,828598.0718350199,-1657188.1436700397,-1657141.4188219837,200264,0.08980472345629513,0.06296660982959677,3.7551888089373175,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
