perspective,outcome,target,chosen_key,ols_metric_used_self,ols_metric_used_opp,ols_rmse,ols_mae,ssm_rmse,ssm_mae,dm_mse_stat,dm_mse_p,dm_mae_stat,dm_mae_p,ssm_snr,rmse_diff
attack,hold,self,3,seq_event_num,,165.17566722617363,153.90098401830454,164.70129978180006,153.3930014727342,-251.37539513201176,1.0,-2543.779769076611,1.0,1.4010636973398172e-09,-0.4743674443735699
attack,xG,self,3,seq_event_num,,0.16367693525973984,0.07181935534784627,0.14968387308597522,0.09178830092125623,-16.288420429039867,1.0,26.14402755204631,0.0,9.198766038152598e-06,-0.013993062173764614
attack,xT,self,3,seq_event_num,,0.138633212643009,0.08869017583255748,0.11745159032575588,0.08145398698381685,-28.44784446633947,1.0,-12.001697855418584,1.0,0.07345014036659525,-0.021181622317253138
defense,hold,self+opp,3,def_gain_dist,def_gap_std,158.63664925388161,147.30533442271843,158.17446647308552,146.81215664791782,-293.5706953546704,1.0,-1015.5618336369761,1.0,1.3689494921335988e-07,-0.4621827807960983
defense,xG,self+opp,3,def_miss_pos_line,shot_saved_def,0.14850011764625118,0.05922511566225355,0.13590200640443942,0.0791339260133635,-20.480487142834125,1.0,38.343618494911475,0.0,0.009923284032556452,-0.01259811124181176
defense,xT,self+opp,3,def_gain_dist,def_gap_std,0.1273024601808774,0.07912875921193478,0.0997266078316606,0.07228314813265194,-37.1830091890364,1.0,-11.862442380438758,1.0,0.020740150982298405,-0.027575852349216806
