perspective,outcome,target,ols_rmse,ssm_rmse,rmse_diff,ssm_snr,mu_train
attack,hold,self,165.17566722617363,164.70129978180006,-0.4743674443735699,1.401063697339817e-09,0.520310003440944
attack,xG,self,0.1636769352597398,0.1496838730859752,-0.0139930621737646,9.198766038152598e-06,0.075047771626099
attack,xT,self,0.138633212643009,0.1174515903257558,-0.0211816223172531,0.0734501403665952,0.0956761312583249
defense,hold,self+opp,158.6366492538816,158.17446647308552,-0.4621827807960983,1.3689494921335988e-07,
defense,xG,self+opp,0.1485001176462511,0.1359020064044394,-0.0125981112418117,0.0099232840325564,
defense,xT,self+opp,0.1273024601808774,0.0997266078316606,-0.0275758523492168,0.0207401509822984,
