metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches,abs_z,neglog10_p,group_id,rank_abs_z_in_group
def_linegap_mean,-7.832872897132109e-05,1.8627817681487854e-05,-4.20493319779286,2.611592808632324e-05,474,defense,xG,opp,A,"Very strong (p≤0.001, |z|≥3.29)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,4.20493319779286,4.583094535953467,defense|xG|opp,4.0
shot_blocked_def,5.406348900196247e-05,2.1787101406377663e-05,2.481444777511186,0.0130850983780406,468,defense,xG,opp,C,"Significant (p≤0.05, |z|≥1.96)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,2.481444777511186,1.8832230078441565,defense|xG|opp,5.0
def_linegap_std,-5.126859165207017e-05,2.209049760732462e-05,-2.320843675113542,0.0202952823626159,474,defense,xG,opp,C,"Significant (p≤0.05, |z|≥1.96)",5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,2.320843675113542,1.692604902086389,defense|xG|opp,6.0
shot_saved_def,4.660758667955754e-06,2.5702486442937697e-05,0.1813349334237815,0.856104687617653,472,defense,xG,opp,D,Not significant,5.2591440390286e-06,0.1203532416305326,0.0664424527016107,0.0485221050041031,2640867.623668365,-5273219.24733673,-5246798.221234882,5571.450682844652,-11124.935120963566,-11069.194559567262,237,0.1813349334237815,0.06747312495517384,defense|xG|opp,7.0
def_gain_dist,4.787362502793455e-05,6.037612370616572e-08,792.9231306885904,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763,0.0918253993251162,0.075047771626099,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571123,-12450.25293151831,237,792.9231306885904,300.0,defense|xG|self,1.0
def_suc_pos_line_box,-1.0228970703250191e-05,2.0166362777041879e-07,-50.72293311560986,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763,0.0918253993251162,0.075047771626099,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571123,-12450.25293151831,237,50.72293311560986,300.0,defense|xG|self,2.0
seq_def_num,0.000370522897186,2.4655653098051253e-05,15.027908435950136,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763,0.0918253993251162,0.075047771626099,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571123,-12450.25293151831,237,15.027908435950136,300.0,defense|xG|self,3.0
def_miss_pos_line,-0.000131374099953,9.305097202873282e-06,-14.118509144908304,0.0,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763,0.0918253993251162,0.075047771626099,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571123,-12450.25293151831,237,14.118509144908304,300.0,defense|xG|self,4.0
def_suc,1.9961294270193226e-07,5.769937595972108e-08,3.4595338230569173,0.0005411113133086,474,defense,xG,self,A,"Very strong (p≤0.001, |z|≥3.29)",4.497141483391459e-05,0.14984594728763,0.0918253993251162,0.075047771626099,2964321.8961603567,-5922007.792320713,-5901419.889539679,6253.843662785563,-12493.687325571123,-12450.25293151831,237,3.4595338230569173,3.2667133859415003,defense|xG|self,5.0
shot_offpost_def,-0.0020682759553011,1.8560031475582986e-07,-11143.709309017431,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,11143.709309017431,300.0,defense|xT|opp,1.0
def_gap_std,5.972330956314711e-05,9.057111535292909e-08,659.4079064878786,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,659.4079064878786,300.0,defense|xT|opp,2.0
def_gap_mean,2.6713470603113564e-06,6.694697129295301e-08,39.902433354629565,0.0,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,39.902433354629565,300.0,defense|xT|opp,3.0
def_linegap_mean,0.0001067722175758,1.9764766395935425e-05,5.40214923044866,6.584713285739953e-08,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,5.40214923044866,7.181463130517216,defense|xT|opp,4.0
shot_blocked_def,-0.0001075800636205,2.3468632481587784e-05,-4.583993707557991,4.561779704204128e-06,468,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,4.583993707557991,5.340865691343151,defense|xT|opp,5.0
def_linegap_std,-9.404454780931142e-05,2.469134842992297e-05,-3.8088056663337446,0.0001396396491892,474,defense,xT,opp,A,"Very strong (p≤0.001, |z|≥3.29)",1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,3.8088056663337446,3.8549912509161945,defense|xT|opp,6.0
shot_saved_def,-2.2514508286961957e-05,2.709412826952435e-05,-0.8309737099859535,0.4059884812642615,472,defense,xT,opp,D,Not significant,1.710746418800032e-06,0.0897374250341792,0.0629776118208535,0.0671917659977994,2618048.012426698,-5227580.024853396,-5201158.998751549,5523.3080430943,-11028.64984146286,-10972.909280066558,237,0.8309737099859535,0.39148628808372965,defense|xT|opp,7.0
def_gain_dist,4.009870083208726e-05,5.470363703224996e-08,733.0170900418832,0.0,474,defense,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",6.366449563407342e-05,0.1088089362598554,0.0816299595775831,0.0956761312583249,3138510.367920301,-6270384.735840602,-6249796.833059566,6621.329890127217,-13228.659780254437,-13185.225386201617,237,733.0170900418832,300.0,defense|xT|self,1.0
